,Type, ID, Name, Company, Release date
,iPad only,806393795,Gold Fish Casino Slots,Phantom EFX,06/04/2014
,iPad only,603097018,Caesars Slots,Playtika LTD,06/13/2013
,iPad only,575980917,Jackpot Party Casino - Slots,Phantom EFX,12/12/2012
,iPad only,509098112,Bingo Bash™ - Fun Bingo & Slots featuring Wheel of Fortune® Bingo and more!,BitRhymes Inc.,06/15/2012
,iPad only,932270314,Wild Luck Casino for Viber,Playtika LTD,01/28/2015
,iPad only,476936082,Slots Journey,FishSticks Games,12/08/2011
,iPad only,571865683,Texas Holdem Poker Free,Viaden,11/13/2012
,iPad only,339455906,Virtual Horse Racing 3D Lite,Natenai Ariyatrakool,11/18/2009
,iPad only,446324234,欢乐斗地主(QQ游戏官方版),Shenzhen Tencent Computer Systems Company Limited,08/08/2013
,iPad only,561705065,Blackjack 21 Pro,Avalinx LLC,10/23/2012
,iPad only,556627912,Slot Bonanza - FREE Slots Casino,InfiApps Ltd.,09/26/2012
,iPad only,990727535,Lottery Scratchers,App Happy Games LLC,05/27/2015
,iPad only,405589767,Coin Dozer - Seasons,Game Circus LLC,12/03/2010
,iPad only,513894363,Live Holdem Poker Pro by Dragonplay  Texas Hold’em Style,Appchi Media Ltd,07/09/2012
,iPad only,876336616,Caesars Casino Games – Real money Roulette  Blackjack & Slots games in New Jersey,Caesars Interactive Entertainment,07/30/2014
,iPad only,501937883,Roulette Multiplayer,App Street Software Private Limited,05/16/2012
,iPad only,480523695,Poker Friends - Free Texas Holdem With Friends,Big Blue Parrot,08/15/2012
,iPad only,445204560,Live Holdem Poker,GeaxGame Inc,07/07/2011
,iPad only,486609032,Texas HoldEm Poker Deluxe,IGG.COM,12/21/2011
,iPad only,551506869,Coin Kingdom 2 : Real 3D Coin Game + Slots,LINXYZ Inc.,09/26/2012
,iPad only,521194385,Slots of Gold,Avalinx LLC,07/26/2012
,iPad only,473839026,American Scratchers Lottery Scratch Off Tickets,Tiny Mobile Inc.,11/05/2011
,iPad only,560501166,BlackJack Live Casino by Abzorba Games,AbZorba Games BetriebsgmbH,11/11/2012
,iPad only,291806003,31-in-1 Casino and Sportsbook,gApp Technology  Inc.,09/27/2008
,iPad only,632721829,GameHouse Casino Plus: A FREE Slots  21 Blackjack and Video Poker Game,GameHouse,05/30/2013
,iPad only,412840230,Coin Dozer - World Tour,Game Circus LLC,01/22/2011
,iPad only,958832748,Triple Ace Poker - VIP Cash Prizes Winner Deck Series,Sumeet Parmar,02/03/2015
,iPad only,445184408,Ace Coin BullDozer: Dozer of Coins,Tiny Mobile Inc.,07/02/2011
,iPad only,862277443,DH Texas Poker,DROIDHEN LIMITED,06/09/2014
,iPad only,763665400,WSOP Real Money Poker games and Poker tournaments in New Jersey by World Series of Poker,Caesars Interactive Entertainment,11/28/2013
,iPad only,417666448,Girly Detector: Femininity Scanner,RFAM Group LLC,02/10/2011
,iPad only,895742021,Slotagram - Build Your Slots!,Wizits,07/29/2014
,iPad only,635639140,Dragon Era - Slots RPG Card Battle,playmage,09/24/2013
,iPad only,936535961,Golden Sand Poker Free Casino,Monarc Gaming Labs,12/19/2014
,iPad only,751186023,BorgataPoker,bwin.party entertainment Limited,12/17/2013
,iPad only,409852029,Slingo Supreme LITE,funkitron,12/18/2010
,iPad only,731145978,Slots Lost Treasure Journey Slot Machine Games - Win Progressive Chips  777 Wild Cherries  and Bonus Jackpots in the Best Lucky VIP Macau Casino Bonanza!,Rocket Games,11/22/2013
,iPad only,998336678,`` 2015 `` Inferno Slots - Free Slots Casino Game,Mario Andrade,06/08/2015
,iPad only,504720040,Bingo Rush by Buffalo Studios,Playtika Santa Monica  LLC,07/09/2012
,iPad only,819479141,Baccarat - Casino Style,Phonato Studios,07/16/2014
,iPad only,498834744,SPEED HD FREE,hamon,02/17/2012
,iPad only,503572053,PKR Roulette 3D,PKR Limited,04/11/2012
,iPad only,731924439,Texas Hold`em Poker by 888poker NJ,Cassava Enterprises (Gibraltar) Ltd,11/26/2013
,iPad only,574207290,Christmas Scratch Offs - Lottery Scratchers,Eri Kato,11/20/2012
,iPad only,868752219,WSOP Real Money Poker Nevada- games and tournaments by World Series of Poker for iPhone.,Caesars Interactive Entertainment,11/21/2014
,iPad only,293405659,Card Shark Solitaire,Easy 8 Software,10/15/2008
,iPad only,917687708,Tonk Multiplayer,Artoon Solutions,10/28/2014
